id,setting_1,setting_2,Title,sent_1,sent_2,sent_3,sent_4,sent_5,character_1_name,character_2_name,setting_1_replace,setting_2_replace,type
60fa29a6-d966-4e0b-958b-aa114e5c1b51,Thomas is a pianist.,Robert is a music teacher of Thomas.,Thomas the Pianist,Thomas was a ten year old pianist.,"He had been taking lessons from Robert, his music teacher, since he was five.",Thomas had performed many concerts around the state and was well received.,An opportunity came for Thomas to perform in a National Contest.,Thomas won the contest and thanked his teacher during the award ceremony.,Thomas,Robert,__character_1__ is a pianist.,__character_2__ is a music teacher of __character_1__.,Human
1f1a6bd8-6f07-4bcd-8c73-536ee8962798,Mary is a high school student.,Max is a respected person of Mary.,The Speaker,Mary was in her debate club waiting for her turn to go.,She was nervous because she was still new to public speaking.,Max was the one to go next.,He was one of the top debaters in  the school and Mary respected him.,Max gave one of the best speeches Mary ever heard.,Mary,Max,__character_1__ is a high school student.,__character_2__ is a respected person of __character_1__.,Human
c8dd4906-d46e-4c31-b41e-cf35e07a78fa,Kent is an elementary school student.,Dorothy is Kent's rival.,Politics Are Tough,The fourth grade was having a mock election.,Kent was running against Dorothy.,"During a debate, Dorothy said if she won, all the kids would get free candy.","Kent replied that was not likely, that Dorothy was lying.","Dorothy was very offended at being called a liar, said so, and the class booed Kent for calling her one.",Kent,Dorothy,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s rival.,Human
8ccec9cc-604e-4936-93fe-49a601bb71dc,John is a high school student.,David is a friend of John.,let the best man win,john and David went to the same high school.,they were a part of the football team.,"when the current captain of the team graduated, they were the top contenders.",Their friendship got strained because of competition with each other.,They decided that the best man would win,John,David,__character_1__ is a high school student.,__character_2__ is a friend of __character_1__.,Human
2ed7f600-d5cf-4b07-a6e9-02c0e21becf4,Andy is a teacher.,Alice is a wife of Andy.,the perfect man,andy is working as a high school teacher in new york.,andys wife alice always wants to spend some weekend time with him.,but andy take special classes to students who are poor.,at first she was little unhappy about this but later she was happy that her husband one of the few good hearted people in the society in helping others.,Then alice started teaching with him and they took students for a weekend trips when ever they could.,Andy,Alice,__character_1__ is a teacher.,__character_2__ is a wife of __character_1__.,Human
c5349321-862f-4bd3-b919-f2ce13a5f1b1,Emily is an office worker.,Richard is a close friend of Emily.,Jealous Revenge,Richard and Emily have been friends since college.,Emily is a secretary at a law office.,Her friend Richard is a lawyer.,Emily becomes jealous one day because she's not where she wants to be in life.,She ruins Richard's career by accusing him of rape.,Emily,Richard,__character_1__ is an office worker.,__character_2__ is a close friend of __character_1__.,Human
48e6af02-4251-4c20-87b2-e5c732ca0925,Thomas is a pianist.,Dorothy is a music teacher of Thomas.,Nervous Wreck,Thomas was really excited for piano class because it was the day they announced the contestants.,The contestants could head to the music competition and represent the school.,Thomas was really nervous.,His teacher Dorothy started to read off the names.,"Fortunately, Thomas was picked to be one of the representatives.",Thomas,Dorothy,__character_1__ is a pianist.,__character_2__ is a music teacher of __character_1__.,Human
e824f78c-e0a8-47e3-853d-e8fa4042fa59,Thomas is a pianist.,Robert is a music teacher of Thomas.,Strange Good Advice,"Thomas had an eccentric piano teacher, Robert.","Robert would give strange advice, like telling Thomas to play like a river.","One day, Thomas asked for more specific help.",Robert told him to play one section like the Nile.,"Thomas tried, and it worked beautifully.",Thomas,Robert,__character_1__ is a pianist.,__character_2__ is a music teacher of __character_1__.,Human
aadcaa21-527c-4ffc-9cce-42c4750a6f05,John is a high school student.,Dorothy is John's mother.,The Mama's Boy,Dorothy teaches at her son John's High School.,He is the popular kid at school and everyone looks up to him.,"One day, Dorothy walks into John's class and gives him a kiss in front of everyone.",John is embarrassed and everyone starts laughing.,People start teasing and bullying him because he is a mama's boy.,John,Dorothy,__character_1__ is a high school student.,__character_2__ is __character_1__'s mother.,Human
8acbb3d7-246b-4a59-a7f6-c4d13b994cbb,Kevin is an office worker.,Max is a respected person of Kevin.,Bad challenge,Kevin always looked up to Max and wanted to challenge his position.,"So, he got to work early everyday and left late like Max.","He took on twice the work like Max, and overloaded himself.","Max laughed at Kevin, as Kevin overwhelmed himself and stressed himself out.",Kevin gave up and decided the challenge wasn+H759 worth it.,Kevin,Max,__character_1__ is an office worker.,__character_2__ is a respected person of __character_1__.,Human
ed6a0693-e7b8-4afd-8ed5-bd04e2a429a3,Charles is a teacher.,Max is Charles's dog.,Charles and Max- A true bond,Charles loves children so he became teacher in local school.,He wanted to have a dog since a long time.,He visited the local animal shelter in search of one.,"His search ended on Max, who he brought home with him.",They were rivals and the main contenders for the post of head cheerleader.,Charles,Max,__character_1__ is a teacher.,__character_2__ is __character_1__'s dog.,sent_5_random
7d31eee5-9e5b-42d2-81a5-daca335ecec9,Trisha is an office worker.,Max is Trisha's dog.,Trisha and Max,Trisha loves her dog Max.,She brings him to a doggie daycare on her way to her office job.,Max loves going there five days a week.,Trisha loves that she knows he is being cared for while she is at work.,Kent decides that he doesn't like Dorothy anymore.,Trisha,Max,__character_1__ is an office worker.,__character_2__ is __character_1__'s dog.,sent_5_random
0cb763ed-374c-4d4f-8405-9b62c31282f9,Emily is an office worker.,Richard is a person who Emily does not like.,The Unexpected Husband,Emily usually gets home from her office job at around 8pm.,She often sees her neighbor Richard who she does not like.,Richard can sense the tension and decides to go over.,They end up talking and laughing all night.,Kent wound up sitting as far from Linda as possible.,Emily,Richard,__character_1__ is an office worker.,__character_2__ is a person who __character_1__ does not like.,sent_5_random
2ae704cd-d91a-4cb1-b186-be221622e995,Margaret is an athelete.,Dorothy is Margaret's sister.,Everyone Wins in the End,"Margaret and Dorothy, sisters, had always been in competition with one another.","Both could run fast, really fast.",They alternated in each race breaking the current national record.,They were both chosen for the summer Olympics.,"However, Robert was able to beat him by creating a door with cut in half ping pong balls in the shape of a snowman and it even lit up.",Margaret,Dorothy,__character_1__ is an athelete.,__character_2__ is __character_1__'s sister.,sent_5_random
b13dbc68-51ab-40b4-8341-417d05a52af3,Mary is a high school student.,David is a friend of Mary.,tough love,Mary and David were high school sweethearts.,"When a new girl Jessica transferred to their high school, they hit a rough patch.",Differences started propping up in the two of them.,Mary got jealous of David and Jessica's friendship.,Linda's face sagged as the director extended the plaque for worker of the year to Kevin.,Mary,David,__character_1__ is a high school student.,__character_2__ is a friend of __character_1__.,sent_5_random
86f0ff64-955f-454a-b11c-db06cbdd208c,Kent is an elementary school student.,Robert is Kent's father.,The Drunk Teacher,Kent goes to the same Elementary School that his father Robert teaches at.,His father has been hiding an alcohol problem.,"One day, Robert comes to school noticeably drunk.",His father is fired and sent to rehab.,And she also told him she doesn't like him.,Kent,Robert,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s father.,sent_5_random
7fcf4382-bc3d-487a-9068-d1c0831aa4e0,Kent is an elementary school student.,David is a close friend of Kent.,The Sinful Boy,David and Kent are best friends.,They both attend Capers Elementary School in New Jersey.,"One day, they were experimenting kissing with each other.",David's mom catches them and beats both of them for sinning.,Mary becomes furious and runs over to slap both John and Dorothy.,Kent,David,__character_1__ is an elementary school student.,__character_2__ is a close friend of __character_1__.,sent_5_random
ec7ffb41-cc1b-4a09-bbc1-4b1ea2db740b,Richard is an athlete.,Robert is Richard's brother.,Sparring Siblings,Richard is an excellent boxer.,"Robert is his younger brother, and nearly as good.",They are matched.,Richard has a chance to deliver a knock-out punch.,Barbara later thanked her friends for pretending they were animal control.,Richard,Robert,__character_1__ is an athlete.,__character_2__ is __character_1__'s brother.,sent_5_random
f587c145-0834-4e8f-afda-6a92daae8427,Alice is an elementary school student.,Max is Alice's dog.,The Dog Sneaker,Alice goes to Ashton Elementary School.,She has a dog named Max who she has had for 2 years.,Today is Show and Tell day when you can show your class your favorite things.,"Alice knows it is against the rules, but she sneaks Max into her school to show him off.",Dorothy is mad at Kevin for making her stop being so lazy and get a job.,Alice,Max,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s dog.,sent_5_random
3ce0c885-7cc1-4c27-b398-d9abd632861c,Trisha is an office worker.,Dorothy is Trisha's rival.,Dental Rivalry,Trisha works in a dental office.,Dorothy is also a worker there.,Trisha is the lead office worker and Dorothy would like her job.,Dorothy sometimes tries to undermine Trisha in the hopes that she might get fired.,Things with them are amazing and they love the way they live.,Trisha,Dorothy,__character_1__ is an office worker.,__character_2__ is __character_1__'s rival.,sent_5_random
fe11b393-ca34-4604-bc3b-82cb1ad602ef,Mary is a high school student.,Robert is Mary's father.,Stepping In To Protect A Loved One,"Mary, a high school student, has been acting out at home and school.",She lives with her dad Richard.,Mary became withdrawn then started having outbursts about three months after meeting her new boyfriend.,"Her father suspects some sort of abusive behavior from her boyfriend, but Mary denies it then cries.",Then he gave her some advice about her future and made her to concentrate on her studies.,Mary,Robert,__character_1__ is a high school student.,__character_2__ is __character_1__'s father.,sent_5_same_setting
e4192718-9e3a-4582-bf51-c7afa9fd15c4,Kent is an elementary school student.,David is a friend of Kent.,Kent's illness,Kent was feeling ill when he work up this morning.,He decided he was going to ask his mom if he could sleep in and stay home.,His mom took his temperature and she decided he should stay home.,When the school day was over David brought all the course work Kent missed to him.,They take the trip together and have an amazing time.,Kent,David,__character_1__ is an elementary school student.,__character_2__ is a friend of __character_1__.,sent_5_same_setting
d29ce343-1de6-406c-8eee-2c115b957c2b,Alice is an elementary school student.,Max is a dog owned by a friend of Alice.,A good deed deserves a reward,Alice was walking home from school one day when she say Max running down the street.,Max was her neighbors dog.,"She called for him, but he ran off.","Alice chased him down the street, and caught Max.",Alice is hurt and runs home crying.,Alice,Max,__character_1__ is an elementary school student.,__character_2__ is a dog owned by a friend of __character_1__.,sent_5_same_setting
64d6ef08-1ff5-4dde-9e2a-cff5d01144b7,Richard is an athlete.,Dorothy is a person that Richard does not like.,Richard Ruins Everything,Richard was out jogging when he noticed a UPS truck.,It pulled up to Dorothy's house and dropped off a package.,Dorothy didn't appear to be home.,"This Side Up, the box read.","In the last five minutes, Dorothy fires on all cylinders and wins by four points.",Richard,Dorothy,__character_1__ is an athlete.,__character_2__ is a person that __character_1__ does not like.,sent_5_same_setting
ed5cf929-5cdb-4cf6-9580-e2fed3133e14,Trisha is an office worker.,Robert is Trisha's colleague.,From mistake to friendship,Trisha and Robert have worked in the same office for several years.,They have never talked much.,One day Robert accidentally spilled his coffee on Trisha's desk.,He helped her clean it up and apologized profusely.,"The boss mentioned that they're doing so great in their positions, that he will keep them there!",Trisha,Robert,__character_1__ is an office worker.,__character_2__ is __character_1__'s colleague.,sent_5_same_setting
90fd2a4e-665e-4b4f-9f15-d92212001e62,Alice is an elementary school student.,Robert is a teacher of Alice.,The Helpful Teacher,Alice's mother enrolled her in an after school program because she was having trouble.,Alice didn't understand her homework.,She decided to ask her teacher Robert.,Robert stayed with her all day until she understood the question.,"Finally, Alice brought him cookies, and he said that was a perfect gift.",Alice,Robert,__character_1__ is an elementary school student.,__character_2__ is a teacher of __character_1__.,sent_5_same_setting
57e6dabc-9d21-4ceb-a2a6-fb4c05fdfc66,Thomas is a pianist.,Dorothy is Thomas's rival.,The battle of the two violinists,Thomas was excited about his audition for the community band.,"When he arrived at the community center, he was surprised to see Dorothy waiting to audition.","Dorothy had long been a thorn in his side, always tormenting him because she had private violin lessons where he did not.",They both played two pieces each in front of the committee.,"The piece was so difficult, he messed up and was humiliated.",Thomas,Dorothy,__character_1__ is a pianist.,__character_2__ is __character_1__'s rival.,sent_5_same_setting
9e97dc42-4f9a-4b38-8d5f-f6a396064feb,Richard is an athlete.,Robert is Richard's teammate.,Spite Wins Nothing,Richard is a great basketball player.,"Robert is on his team, but doesn't like Richard.","During a game, Robert has the ball.",He sees Richard is open and can make a shot.,They share a cordial relationship with each other.,Richard,Robert,__character_1__ is an athlete.,__character_2__ is __character_1__'s teammate.,sent_5_same_setting
41df5f1a-f06d-40da-996d-0586e40914ec,Emily is an office worker.,John is Emily's colleague.,Time Wasters,Emily was getting sick of working on this particular Tuesday.,She decided to go and talk to John for a bit.,John and her started by talking about work stuff.,After just a few minutes Emily told John she wanted to talk about something different.,Both John and Emily are fired.,Emily,John,__character_1__ is an office worker.,__character_2__ is __character_1__'s colleague.,sent_5_same_setting
053a1caf-a34a-4ba7-a26b-c1fd234e4850,Trisha is an office worker.,Max is a dog owned by a friend of Trisha.,Max Loves the Office,Trisha works in an office close to her home.,Trisha's friend lives next door.,Her friend has a dog named Max.,Max will often see Trisha walking to work.,Trisha volunteered to foster Max and took a good care of her.,Trisha,Max,__character_1__ is an office worker.,__character_2__ is a dog owned by a friend of __character_1__.,sent_5_same_setting
8fb93f8e-32ad-4d80-a638-0a15ede3ed82,Mary is a high school student.,Robert is Mary's brother.,Almost Time for College,Mary was surprised to find how sad she became as she thought about them being separated.,She wondered if Robert felt the same.,Now it was their last year of high school and they would be going off to different colleges in the fall.,Both of them did exceptionally well all through school and it was always a battle to see who would get the best grades.,"Mary and her brother Robert were twins, and they were very competitive and fought constantly.",Mary,Robert,__character_1__ is a high school student.,__character_2__ is __character_1__'s brother.,random_order
f6933720-f831-4dc7-94e6-b2fab2f14334,Alice is an elementary school student.,Dorothy is Alice's rival.,Rival's Revenge,The teacher began to speak.,"Unfortunately Alice's rival, Dorothy, was the winner instead.",Alice was nervous because she really wanted the prize.,Alice's teacher was handing out test results this morning.,The teacher announced that the student with the highest score got a prize.,Alice,Dorothy,__character_1__ is an elementary school student.,__character_2__ is __character_1__'s rival.,random_order
702b67b5-3fe7-4616-aa5e-e1c07faf9740,Kevin is an office worker.,Linda is Kevin's boss.,Hard work pays off,Kevin work hard and completed his project on time.,Kevin was a corporate employee.,Linda was his boss who he reported to.,Kevin was assigned a project after linda's recommendation.,Kevin got promoted for his good work.,Kevin,Linda,__character_1__ is an office worker.,__character_2__ is __character_1__'s boss.,random_order
a64ef23b-1c26-4449-83fc-c1447effdfd8,Margaret is an athelete.,Linda is a close friend of Margaret.,Friendship - A selfless bond,Margaret won the competition and dedicated her win to her friendship with Linda.,Margaret was a very good boxer but belonged to a poor family.,Linda was a very close friend of Margaret since childhood.,Margaret was not able to go to New york academy for boxing competition.,Linda came to know about Margaret wish and sponsored her trip.,Margaret,Linda,__character_1__ is an athelete.,__character_2__ is a close friend of __character_1__.,random_order
96e53d93-4247-4064-a809-5a91ce89d64f,Charles is a teacher.,Dorothy is Charles's colleague.,Don't let others Cloud your Judgement,Although the student made good grades Dorothy failed him.,Charles failed the same student after hearing about this and they were both fired as this was highly unethical.,Charles and Dorothy were teachers at a local college.,They had many of the same students.,Dorothy often complained about a male student who harassed her.,Charles,Dorothy,__character_1__ is a teacher.,__character_2__ is __character_1__'s colleague.,random_order
